id,MIN202304070
version,2
info,visteam,HOU
info,hometeam,MIN
info,site,MIN04
info,date,2023/04/07
info,number,0
info,gametype,regular
info,starttime,3:10PM
info,daynight,day
info,innings,9
info,tiebreaker,2
info,usedh,true
info,umphome,gibsh902
info,ump1b,millb903
info,ump2b,carlm901
info,ump3b,bakej902
info,umplf,(none)
info,umprf,(none)
info,inputtime,2023/07/28 12:23:55
info,howscored,unknown
info,pitches,pitches
info,oscorer,thors701
info,temp,47
info,winddir,rtol
info,windspeed,10
info,fieldcond,unknown
info,precip,none
info,sky,sunny
info,timeofgame,167
info,attendance,38465
info,wp,lopej004
info,lp,stanr002
info,save,
start,penaj004,"Jeremy Pena",0,1,6
start,brega001,"Alex Bregman",0,2,5
start,alvay001,"Yordan Alvarez",0,3,7
start,abrej003,"Jose Abreu",0,4,10
start,tuckk001,"Kyle Tucker",0,5,9
start,hensd002,"David Hensley",0,6,3
start,mccoc001,"Chas McCormick",0,7,8
start,dubom001,"Mauricio Dubon",0,8,4
play,4,1,gallj002,10,BX,HR/F89XD+
play,4,1,vazqc001,20,BBX,4/L4MD
play,4,1,taylm002,31,CBBB*B,W
play,4,1,keplm001,11,BC1>B,SB2
play,4,1,keplm001,22,BC1>B.CX,S9/L89.2-3
play,4,1,corrc001,32,B*BCSB>S,K+CS2(24)/DP
play,5,0,lemad001,32,BBBCCX,S8/L89D
play,5,0,cordf003,12,SBSS,K
play,5,0,cabro002,02,FCX,3(B)6(1)/GDP/G3
play,5,1,polaj001,32,BBSCB*S,K
play,5,1,buxtb001,12,FFBX,53/G56
play,5,1,larnt001,21,BCBX,S5/G56S-
play,5,1,miraj002,00,,NP
sub,abrea001,"Albert Abreu",0,0,1
play,5,1,miraj002,31,.BBBCB,W.1-2
play,5,1,gallj002,31,BBFBB,W.2-3;1-2
play,5,1,vazqc001,31,BB*BCX,7/L78D
play,6,0,trevj001,11,FBX,43/G4MD
play,6,0,hicka001,22,FBSFFBX,31/G3
play,6,0,volpa001,32,BSBBCB,W
play,6,0,judga001,22,BBCFS,K
play,6,1,taylm002,11,CBX,S5/G6S
play,6,1,keplm001,22,CFB11*BX,16(1)/FO/G13.B-2(E6/TH)
play,6,1,corrc001,12,FBSX,2/P2F/FL
play,6,1,polaj001,00,X,D76/F7LS.2-H(UR)
play,6,1,buxtb001,12,CC*BS,K
play,7,0,rizza001,21,BFBX,43/G34
play,7,0,torrg001,32,BBCBC.C,K
play,7,0,lemad001,32,CBBSBFB,W
play,7,0,cordf003,12,SSFBS,K
play,7,1,larnt001,00,,NP
sub,peraw002,"Wandy Peralta",0,0,1
play,7,1,larnt001,21,.BBCX,7/F7D
play,7,1,miraj002,12,CBS.X,9/L89
