pitch_type,zone,stand,type,balls,strikes,on_3b,on_2b,on_1b,outs_when_up,inning,at_bat_number,pitch_number,bat_score,fld_score,years_since_2015
1,6.0,1,2,0,1,0,0,1,1,3,18,2,0,1,0.02737850787132101
3,5.0,0,1,0,0,0,1,0,2,3,19,1,0,1,0.02737850787132101
4,14.0,0,0,0,1,0,1,0,2,3,19,2,0,1,0.02737850787132101
4,1.0,0,0,1,1,0,1,0,2,3,19,3,0,1,0.02737850787132101
3,11.0,0,1,2,1,0,1,0,2,3,19,4,0,1,0.02737850787132101
4,5.0,0,1,2,2,0,1,0,2,3,19,5,0,1,0.02737850787132101
3,13.0,0,2,2,2,0,1,0,2,3,19,6,0,1,0.02737850787132101
4,13.0,0,1,0,0,1,0,1,2,3,20,1,0,1,0.02737850787132101
3,13.0,0,0,0,1,1,0,1,2,3,20,2,0,1,0.02737850787132101
3,13.0,0,1,1,1,1,0,1,2,3,20,3,0,1,0.02737850787132101
1,11.0,0,0,1,2,1,0,1,2,3,20,4,0,1,0.02737850787132101
1,1.0,0,1,2,2,1,0,1,2,3,20,5,0,1,0.02737850787132101
1,4.0,1,2,0,0,0,0,0,0,4,25,1,0,2,0.02737850787132101
1,5.0,1,1,0,0,0,0,0,1,4,26,1,0,2,0.02737850787132101
1,5.0,1,1,0,1,0,0,0,1,4,26,2,0,2,0.02737850787132101
1,12.0,1,1,0,2,0,0,0,1,4,26,3,0,2,0.02737850787132101
4,6.0,1,2,0,2,0,0,0,1,4,26,4,0,2,0.02737850787132101
1,12.0,1,0,0,0,0,0,0,2,4,27,1,0,2,0.02737850787132101
4,4.0,1,1,1,0,0,0,0,2,4,27,2,0,2,0.02737850787132101
2,8.0,1,1,1,1,0,0,0,2,4,27,3,0,2,0.02737850787132101
1,12.0,1,0,1,2,0,0,0,2,4,27,4,0,2,0.02737850787132101
1,14.0,1,1,2,2,0,0,0,2,4,27,5,0,2,0.02737850787132101
2,14.0,1,0,0,0,0,0,0,0,5,33,1,0,2,0.02737850787132101
2,9.0,1,1,1,0,0,0,0,0,5,33,2,0,2,0.02737850787132101
4,7.0,1,1,1,1,0,0,0,0,5,33,3,0,2,0.02737850787132101
1,12.0,1,1,1,2,0,0,0,0,5,33,4,0,2,0.02737850787132101
5,13.0,0,0,0,0,0,0,0,1,5,34,1,0,2,0.02737850787132101
5,7.0,0,1,1,0,0,0,0,1,5,34,2,0,2,0.02737850787132101
1,1.0,0,1,1,1,0,0,0,1,5,34,3,0,2,0.02737850787132101
1,11.0,0,0,1,2,0,0,0,1,5,34,4,0,2,0.02737850787132101
1,5.0,0,2,2,2,0,0,0,1,5,34,5,0,2,0.02737850787132101
1,1.0,1,1,0,0,0,0,0,2,5,35,1,0,2,0.02737850787132101
2,13.0,1,0,0,1,0,0,0,2,5,35,2,0,2,0.02737850787132101
2,14.0,1,2,1,1,0,0,0,2,5,35,3,0,2,0.02737850787132101
