,IDfg,Name,Age,PA,AVG,BB%,K%,BB/K,OBP,SLG,Spd,wRAA,wFB/C,wSL/C,wCT/C,wCB/C,wCH/C,wSF/C,wKN/C,O-Swing%,Z-Swing%,Swing%,O-Contact%,Z-Contact%,Contact%,Zone%,F-Strike%,SwStr%
186,21479,Nico Hoerner,25,687,0.286,0.066,0.11900000000000001,0.55,0.341,0.4,5.7,6.2,0.64,1.92,-3.79,-0.05,-0.42,-2.71,,0.35600000000000004,0.677,0.48700000000000004,0.76,0.927,0.855,0.409,0.635,0.071
52,26288,Adley Rutschman,24,470,0.254,0.138,0.183,0.76,0.362,0.445,4.2,16.5,1.88,1.27,2.63,-0.47,-0.61,0.31,,0.254,0.6409999999999999,0.405,0.73,0.915,0.8440000000000001,0.391,0.534,0.063
260,15491,J.P. Crawford,27,1290,0.259,0.098,0.15,0.65,0.339,0.358,2.8,-2.1,-0.24,0.14,-0.36,0.78,1.01,-2.49,,0.249,0.644,0.426,0.757,0.924,0.87,0.44799999999999995,0.5770000000000001,0.055
178,20126,Dylan Carlson,23,1107,0.253,0.092,0.222,0.41,0.331,0.412,4.4,9.6,0.52,0.44,0.05,0.76,-0.12,-1.05,,0.276,0.6990000000000001,0.45399999999999996,0.613,0.8340000000000001,0.7559999999999999,0.42,0.578,0.111
135,12564,Trevor Story,29,991,0.246,0.086,0.263,0.33,0.319,0.456,6.4,15.0,0.3,-0.58,1.39,0.25,4.59,-4.94,,0.348,0.738,0.504,0.584,0.846,0.738,0.39899999999999997,0.628,0.132
138,5933,Jean Segura,32,954,0.285,0.067,0.14300000000000002,0.47,0.343,0.416,4.7,13.9,-0.05,0.65,-3.05,1.46,2.27,2.58,3.94,0.35600000000000004,0.653,0.483,0.745,0.903,0.8370000000000001,0.429,0.622,0.079
386,8709,Elvis Andrus,33,1118,0.246,0.063,0.155,0.4,0.299,0.363,5.1,-19.9,0.1,-0.54,-1.35,-1.69,-0.6,-5.14,,0.336,0.652,0.47,0.688,0.9009999999999999,0.813,0.423,0.616,0.08800000000000001
420,17620,Myles Straw,26,1234,0.247,0.098,0.16899999999999998,0.58,0.321,0.311,6.0,-26.9,-0.5,-0.66,-1.16,0.23,0.67,-4.1,-2.34,0.226,0.614,0.40299999999999997,0.787,0.932,0.888,0.456,0.602,0.045
153,16556,Ozzie Albies,25,955,0.256,0.066,0.183,0.36,0.306,0.466,6.1,11.1,1.0,-0.09,0.16,0.32,0.43,-3.24,46.96,0.406,0.8340000000000001,0.5710000000000001,0.696,0.8270000000000001,0.77,0.387,0.623,0.131
342,18577,Ke'Bryan Hayes,25,956,0.249,0.083,0.21899999999999997,0.38,0.315,0.356,5.4,-11.1,-0.5,0.09,-1.49,-0.42,0.08,0.94,,0.299,0.631,0.434,0.648,0.92,0.809,0.406,0.6,0.083
