id,NYA202206280
version,2
info,visteam,OAK
info,hometeam,NYA
info,site,NYC21
info,date,2022/06/28
info,number,0
info,starttime,7:05PM
info,daynight,night
info,innings,9
info,tiebreaker,2
info,usedh,true
info,umphome,sches901
info,ump1b,vondc901
info,ump2b,buckc901
info,ump3b,gonzm901
info,umplf,(none)
info,umprf,(none)
info,inputtime,2022/09/26 06:25:36
info,howscored,unknown
info,pitches,pitches
info,oscorer,altmb701
info,temp,77
info,winddir,ltor
info,windspeed,6
info,fieldcond,unknown
info,precip,none
info,sky,cloudy
info,timeofgame,183
info,attendance,38051
info,wp,searj001
info,lp,montf001
info,save,holmc001
start,allen002,"Nick Allen",0,1,4
start,laurr001,"Ramon Laureano",0,2,9
start,bethc001,"Christian Bethancourt",0,3,3
start,murps001,"Sean Murphy",0,4,2
start,piscs001,"Stephen Piscotty",0,5,10
start,andre001,"Elvis Andrus",0,6,6
start,pindc001,"Chad Pinder",0,7,7
start,neuss001,"Sheldon Neuse",0,8,5
sub,lugos001,"Seth Lugo",0,0,1
play,6,1,judga001,22,.SBCFBS,K
play,6,1,rizza001,02,FFS,K
play,6,1,torrg001,31,CBBBB,W
play,6,1,donaj001,12,C1SB+1B,WP.1-2
play,6,1,donaj001,22,C1SB+1B.>B,SB3
play,6,1,donaj001,32,C1SB+1B.>B.FX,8/F8
play,7,0,batyb001,11,BCX,S7/L78
play,7,0,nidot001,00,1X,13/SH/BG2.1-2
play,7,0,nimmb001,32,BBBCFX,8/F8XD+
play,7,0,marts002,10,BX,9/L9L
play,7,1,cabro002,00,,NP
sub,rodrj004,"Joely Rodriguez",0,0,1
play,7,1,cabro002,02,.CFX,S8/G4M
play,7,1,kinei001,00,X,13/SH/BG13.1-2
play,7,1,higak001,00,,NP
sub,trevj001,"Jose Trevino",1,9,11
play,7,1,trevj001,01,.CX,S3/F3D.2-3
play,7,1,benia002,01,LX,S7/G6+.3-H;1-2
play,7,1,lemad001,00,,NP
sub,ottaa001,"Adam Ottavino",0,0,1
play,7,1,lemad001,12,.CCBS,K
play,7,1,judga001,21,BCBX,S8/L78D+.2-H;1-3
play,7,1,rizza001,00,>B,SB2
play,7,1,rizza001,30,>B.VVV,IW
play,7,1,torrg001,01,CX,8/F8S
play,8,0,lindf001,00,,NP
sub,trevj001,"Jose Trevino",1,9,2
play,8,0,lindf001,32,.CBFFBFBB,W
play,8,0,alonp001,02,CTX,S7/L7S+.1-2
play,8,0,voged001,02,CCX,64(1)3/GDP/G6.2-3
play,8,0,mcnej002,21,SBBX,9/L89D+
play,8,1,donaj001,32,CBFBBFS,K
play,8,1,cabro002,01,CX,9/F89
play,8,1,kinei001,32,BBBCCC,K
play,9,0,canhm001,00,,NP
sub,judga001,"Aaron Judge",1,3,9
play,9,0,canhm001,00,.,NP
sub,flore001,"Estevan Florial",1,7,8
play,9,0,canhm001,00,..X,43/G4+
play,9,0,batyb001,21,BFBX,7/F7D
play,9,0,nidot001,00,,NP
sub,naqut001,"Tyler Naquin",0,9,11
play,9,0,naqut001,32,.BFCBFBB,W
play,9,0,nimmb001,00,>B,DI.1-2
play,9,0,nimmb001,32,>B.BCFBX,S4/G4.2-3
play,9,0,marts002,32,FF*BBB>F>B,W.1-2
play,9,0,lindf001,00,,NP
sub,peraw002,"Wandy Peralta",1,0,1
play,9,0,lindf001,02,.CSFFX,8/F78XD
data,er,rodrj004,2
data,er,ottaa001,0
data,er,walkt004,2
data,er,lugos001,0
data,er,peraw002,0
data,er,schmc002,0
data,er,montf001,2
id,NYA202209090
version,2
info,visteam,TBA
info,hometeam,NYA
info,site,NYC21
info,date,2022/09/09
info,number,0
info,starttime,7:05PM
info,daynight,night
info,innings,9
info,tiebreaker,2
info,usedh,true
info,umphome,diazl901
info,ump1b,cuzzp901
info,ump2b,blakr901
info,ump3b,mahrn901
info,umplf,(none)
info,umprf,(none)
info,inputtime,2022/09/26 06:27:01
info,howscored,unknown
info,pitches,pitches
info,oscorer,altmb701
info,temp,74
info,winddir,tocf
info,windspeed,4
info,fieldcond,unknown
info,precip,none
info,sky,sunny
info,timeofgame,212
info,attendance,46160
info,wp,rasmd002
info,lp,montf001
info,save,armss001
start,diazy001,"Yandy Diaz",0,1,5
start,franw002,"Wander Franco",0,2,6
start,arozr001,"Randy Arozarena",0,3,7
start,ramih004,"Harold Ramirez",0,4,10
start,loweb001,"Brandon Lowe",0,5,4
start,margm001,"Manuel Margot",0,6,9
start,bethc001,"Christian Bethancourt",0,7,2
start,choij001,"Ji-Man Choi",0,8,3
start,sirij001,"Jose Siri",0,9,8
start,rasmd002,"Drew Rasmussen",0,0,1
start,judga001,"Aaron Judge",1,1,8
start,torrg001,"Gleyber Torres",1,2,4
