id,OAK202204180
version,2
info,visteam,BAL
info,hometeam,OAK
info,site,OAK01
info,date,2022/04/18
info,number,0
info,starttime,6:40PM
info,daynight,night
info,innings,9
info,tiebreaker,2
info,usedh,true
info,umphome,drakr901
info,ump1b,littw901
info,ump2b,gibsg901
info,ump3b,mahrn901
info,umplf,(none)
info,umprf,(none)
info,inputtime,2022/09/26 06:24:16
info,howscored,unknown
info,pitches,pitches
info,oscorer,thomc701
info,temp,60
info,winddir,unknown
info,windspeed,15
info,fieldcond,unknown
info,precip,none
info,sky,cloudy
info,timeofgame,179
info,attendance,17503
info,wp,montf001
info,lp,krehj001
info,save,
start,mullc002,"Cedric Mullins",0,1,8
start,mounr001,"Ryan Mountcastle",0,2,3
start,santa003,"Anthony Santander",0,3,7
start,manct001,"Trey Mancini",0,4,10
start,odorr001,"Rougned Odor",0,5,4
start,uriar001,"Ramon Urias",0,6,5
start,haysa001,"Austin Hays",0,7,9
start,bemba001,"Anthony Bemboom",0,8,2
play,5,1,smitk003,12,CFBS,K
play,5,1,pachc001,00,X,63/G6
play,6,0,franw002,32,FBFFBFBFX,8/F8XD
play,6,0,arozr001,00,X,D8/L89XD+
play,6,0,loweb001,11,*BSX,7/F7D
play,6,0,margm001,00,>B,SB3
play,6,0,margm001,10,>B.X,53/G56S
play,6,1,kempt001,11,BSX,S7/L78S
play,6,1,neuss001,01,11CX,8/F89D
play,6,1,lowrj001,10,BX,7/F7D
play,6,1,murps001,00,1X,64(1)/FO/G6.B-1
play,7,0,wallt003,22,BBFTT,K
play,7,0,zunim001,22,CFBFBC,K
play,7,0,parei001,21,CBBX,5/P56
play,7,1,brows003,00,,NP
sub,feyej001,"J.P. Feyereisen",0,0,1
play,7,1,brows003,00,.X,9/F9
play,7,1,piscs001,01,CX,63/G6
play,7,1,pindc001,01,SX,S7/F8
play,7,1,smitk003,02,SFS,K
play,8,0,philb002,00,,NP
sub,jackz002,"Zach Jackson",1,0,1
play,8,0,philb002,31,.BCBBB,W
play,8,0,diazy001,01,C1B,WP.1-2
play,8,0,diazy001,22,C1B.FBX,63/G6.2-3
play,8,0,franw002,12,FBFFS,K
play,8,0,arozr001,32,BFBBF*B,W
play,8,0,loweb001,11,SBH,HP.1-2
com,"$Athletics challenged (hit by pitch), call on the field was upheld."
play,8,0,margm001,12,CBFX,S9/L9L.3-H;2-H;1-3
play,8,0,wallt003,00,,NP
sub,acevd001,"Domingo Acevedo",1,0,1
play,8,0,wallt003,00,.1N,BK.3-H(NR);1-2
play,8,0,wallt003,00,.1N.X,9/L9
play,8,1,pachc001,01,CX,1/G34S-
play,8,1,kempt001,00,,NP
sub,pochc001,"Colin Poche",0,0,1
play,8,1,kempt001,10,.BX,6/P6D
play,8,1,neuss001,12,BCFS,K
play,9,0,zunim001,12,CBFFX,5/L5
play,9,0,parei001,11,SBX,D7/G5
play,9,0,philb002,00,X,7/F7LS
play,9,0,diazy001,22,FBFBH,HP
play,9,0,franw002,12,FFFBFFFX,6/P4MD
play,9,1,lowrj001,00,,NP
sub,kitta001,"Andrew Kittredge",0,0,1
play,9,1,lowrj001,32,.BBFBSX,6/L4MD+
play,9,1,murps001,11,CBX,7/F78S
play,9,1,brows003,00,X,9/L9
data,er,feyej001,0
data,er,kitta001,0
data,er,pochc001,0
data,er,klubc001,0
data,er,jackz002,3
data,er,montf001,0
data,er,acevd001,0
id,OAK202205150
version,2
info,visteam,ANA
info,hometeam,OAK
info,site,OAK01
