id,ARI202204070
version,2
info,visteam,SDN
info,hometeam,ARI
info,site,PHO01
info,date,2022/04/07
info,number,0
info,starttime,6:40PM
info,daynight,night
info,innings,9
info,tiebreaker,2
info,usedh,true
info,umphome,vanol901
info,ump1b,belld901
info,ump2b,barbs901
info,ump3b,valej901
info,umplf,(none)
info,umprf,(none)
info,inputtime,2022/09/26 06:24:00
info,howscored,unknown
info,pitches,pitches
info,oscorer,black701
info,temp,93
info,winddir,ltor
info,windspeed,6
info,fieldcond,unknown
info,precip,none
info,sky,sunny
info,timeofgame,198
info,attendance,35508
info,wp,mantj002
info,lp,suarr002
info,save,
start,nolaa002,"Austin Nola",0,1,2
start,machm001,"Manny Machado",0,2,5
start,cronj001,"Jake Cronenworth",0,3,4
start,voitl001,"Luke Voit",0,4,10
start,myerw001,"Wil Myers",0,5,9
start,hosme001,"Eric Hosmer",0,6,3
start,profj001,"Jurickson Profar",0,7,7
start,kim-h002,"Ha-Seong Kim",0,8,6
info,lp,luzaj001
info,save,
start,rojam002,"Miguel Rojas",0,1,6
start,aguij001,"Jesus Aguilar",0,2,3
start,solej001,"Jorge Soler",0,3,7
start,coopg002,"Garrett Cooper",0,4,10
start,garca003,"Avisail Garcia",0,5,9
start,wendj002,"Joey Wendle",0,6,4
start,gonze004,"Erik Gonzalez",0,7,5
start,sancj003,"Jesus Sanchez",0,8,8
start,henrp001,"Payton Henry",0,9,2
start,luzaj001,"Jesus Luzardo",0,0,1
start,hummc001,"Cooper Hummel",1,1,7
start,luplj001,"Jordan Luplow",1,2,9
start,martk001,"Ketel Marte",1,3,4
start,walkc002,"Christian Walker",1,4,3
start,rojaj001,"Josh Rojas",1,5,10
start,ahmen001,"Nick Ahmed",1,6,6
start,perdg001,"Geraldo Perdomo",1,7,5
start,thoma004,"Alek Thomas",1,8,8
start,herrj003,"Jose Herrera",1,9,2
start,bumgm001,"Madison Bumgarner",1,0,1
play,1,0,rojam002,02,CCX,S7/L78D+
play,1,0,aguij001,11,BFX,9/F9D
play,1,0,solej001,02,SSX,HR/F7D.1-H
play,1,0,coopg002,11,BCX,9/F9
play,1,0,garca003,21,SBBX,S7/F7D+
play,1,0,wendj002,01,CX,S4/G3.1-2
play,1,0,gonze004,22,CSFBBC,K
play,1,1,hummc001,31,CBBBB,W
play,1,1,luplj001,11,BCX,HR/F7D.1-H
play,1,1,martk001,32,BBSFFFBB,W
