id,SLN202304020
version,2
info,visteam,TOR
info,hometeam,SLN
info,site,STL10
info,date,2023/04/02
info,number,0
info,gametype,regular
info,starttime,1:15PM
info,daynight,day
info,innings,9
info,tiebreaker,2
info,usedh,true
info,umphome,morag901
info,ump1b,becka901
info,ump2b,iassd901
info,ump3b,barrs901
info,umplf,(none)
info,umprf,(none)
info,inputtime,2023/07/28 12:23:54
info,howscored,unknown
info,pitches,pitches
info,oscorer,smitm701
info,temp,63
info,winddir,fromrf
info,windspeed,13
info,fieldcond,unknown
info,precip,none
info,sky,sunny
info,timeofgame,149
info,attendance,45525
info,wp,montj004
info,lp,bassc001
info,save,
start,sprig001,"George Springer",0,1,9
start,bichb001,"Bo Bichette",0,2,6
start,guerv002,"Vladimir Guerrero Jr.",0,3,3
start,varsd001,"Daulton Varsho",0,4,8
start,kirka001,"Alejandro Kirk",0,5,10
start,chapm001,"Matt Chapman",0,6,5
start,merrw001,"Whit Merrifield",0,7,7
start,jansd001,"Danny Jansen",0,8,2
info,temp,70
info,winddir,rtol
info,windspeed,12
info,fieldcond,unknown
info,precip,none
info,sky,cloudy
info,timeofgame,188
info,attendance,36359
info,wp,boydm001
info,lp,hickj002
info,save,langa001
start,vierm001,"Matt Vierling",0,1,8
start,ibana001,"Andy Ibanez",0,2,9
start,baezj001,"Javier Baez",0,3,6
start,haase001,"Eric Haase",0,4,7
start,torks001,"Spencer Torkelson",0,5,3
start,schoj001,"Jonathan Schoop",0,6,4
start,cabrm001,"Miguel Cabrera",0,7,10
start,shorz001,"Zack Short",0,8,5
start,rogej004,"Jake Rogers",0,9,2
start,boydm001,"Matthew Boyd",0,0,1
start,edmat001,"Tommy Edman",1,1,4
start,goldp001,"Paul Goldschmidt",1,2,3
start,contw001,"Willson Contreras",1,3,10
start,arenn001,"Nolan Arenado",1,4,5
start,carld002,"Dylan Carlson",1,5,8
start,yepej001,"Juan Yepez",1,6,7
start,dejop001,"Paul DeJong",1,7,6
start,nootl001,"Lars Nootbaar",1,8,9
start,kniza001,"Andrew Knizner",1,9,2
start,montj004,"Jordan Montgomery",1,0,1
play,1,0,vierm001,12,BCF.X,8/F8XD
play,1,0,ibana001,00,X,D7/G25+
play,1,0,baezj001,12,FBSX,HR/F7LD.2-H
play,1,0,haase001,11,CBX,S4/G4S-
play,1,0,torks001,12,CBFC,K
play,1,0,schoj001,01,S>B,SB2
play,1,0,schoj001,21,S>B.BX,5/L56S+
play,1,1,edmat001,01,CX,7/F78
play,1,1,goldp001,32,BFBFBX,9/F9LS
play,1,1,contw001,22,SSF.BFBS,K
play,2,0,cabrm001,12,CCBFS,K
play,2,0,shorz001,00,X,13/G25-
play,2,0,rogej004,12,BCCS,K
play,2,1,arenn001,00,X,63/G6D+
play,2,1,carld002,12,BFC.X,8/F78D
play,2,1,yepej001,02,CFF.F*S,K
play,3,0,vierm001,00,X,S9/L9L
play,3,0,ibana001,32,F.BCB1FBX,8/F8XD
play,3,0,baezj001,00,X,S9/G4.1-2
play,3,0,haase001,02,SFFX,8/F78
play,3,0,torks001,20,BBX,3/G34
play,3,1,dejop001,11,CBX,7/F7D
play,3,1,nootl001,21,CBBX,43/G4
play,3,1,kniza001,00,X,HR/F78XD
play,3,1,edmat001,00,X,7/L78D
play,4,0,schoj001,22,SBBSX,63/G6
play,4,0,cabrm001,02,CFX,43/G4
play,4,0,shorz001,32,BBSBSFC,K
play,4,1,goldp001,11,CBX,DGR/L78XD+
play,4,1,contw001,32,BCBSFBFX,E9/F9.2-3;B-2
play,4,1,arenn001,02,SSX,63/G6S.3-H(UR);2-3
play,4,1,carld002,21,CB*BX,FC4/G4.3-H(UR);B-1
play,4,1,yepej001,01,T1X,3/P3F/FL
play,4,1,dejop001,11,BFX,9/F9LD
play,5,0,rogej004,22,BCBFX,D7/F7LD+
play,5,0,vierm001,12,CBF.S,K
play,5,0,ibana001,21,FBBX,63/G6.2-3
play,5,0,baezj001,30,BBBB,W
play,5,0,haase001,02,SFFC,K
play,5,1,nootl001,00,,NP
sub,vierm001,"Matt Vierling",0,1,9
play,5,1,nootl001,00,.,NP
sub,greer003,"Riley Greene",0,2,8
play,5,1,nootl001,12,..CCBC,K
play,5,1,kniza001,32,CBFBBS,K
play,5,1,edmat001,22,CC.BFBFS,K
play,6,0,torks001,11,BCX,8/F8
play,6,0,schoj001,11,CBX,43/G4M
play,6,0,cabrm001,00,X,8/F8
play,6,1,goldp001,12,CCBS,K
play,6,1,contw001,10,BX,63/G6+
play,6,1,arenn001,20,BBX,S9/L9L
play,6,1,carld002,01,FX,S8/L89.1-2
play,6,1,yepej001,10,BX,6/P6D
play,7,0,shorz001,00,,NP
sub,hickj002,"Jordan Hicks",1,0,1
play,7,0,shorz001,00,.,NP
sub,mckiz001,"Zach McKinstry",0,8,11
