id,TBA202304010
version,2
info,visteam,DET
info,hometeam,TBA
info,site,STP01
info,date,2023/04/01
info,number,0
info,gametype,regular
info,starttime,4:10PM
info,daynight,day
info,innings,9
info,tiebreaker,2
info,usedh,true
info,umphome,carav901
info,ump1b,mahrn901
info,ump2b,hamaa901
info,ump3b,laynj901
info,umplf,(none)
info,umprf,(none)
info,inputtime,2023/07/23 20:30:17
info,howscored,unknown
info,pitches,pitches
info,oscorer,dabrj701
info,temp,72
info,winddir,unknown
info,windspeed,0
info,fieldcond,unknown
info,precip,none
info,sky,dome
info,timeofgame,168
info,attendance,20204
info,wp,efliz001
info,lp,turns003
info,save,
start,maton001,"Nick Maton",0,1,5
start,greer003,"Riley Greene",0,2,8
start,baezj001,"Javier Baez",0,3,6
start,carpk001,"Kerry Carpenter",0,4,9
start,meada001,"Austin Meadows",0,5,7
start,torks001,"Spencer Torkelson",0,6,3
start,cabrm001,"Miguel Cabrera",0,7,10
start,mckiz001,"Zach McKinstry",0,8,4
version,2
info,visteam,PIT
info,hometeam,TBA
info,site,STP01
info,date,2023/05/04
info,number,0
info,gametype,regular
info,starttime,1:10PM
info,daynight,day
info,innings,9
info,tiebreaker,2
info,usedh,true
info,umphome,gonzm901
info,ump1b,valej901
info,ump2b,johna901
info,ump3b,wolcq901
info,umplf,(none)
info,umprf,(none)
info,inputtime,2023/05/20 17:39:23
info,howscored,unknown
info,pitches,pitches
info,oscorer,dabrj701
info,temp,72
info,winddir,unknown
info,windspeed,0
info,fieldcond,unknown
info,precip,none
info,sky,dome
info,timeofgame,134
info,attendance,12418
info,wp,efliz001
info,lp,velav001
info,save,adamj002
start,marct001,"Tucupita Marcano",0,1,6
start,reynb001,"Bryan Reynolds",0,2,7
start,mccua001,"Andrew McCutchen",0,3,10
start,santc002,"Carlos Santana",0,4,3
start,suwij001,"Jack Suwinski",0,5,8
start,joe-c001,"Connor Joe",0,6,9
start,hayek001,"Ke'Bryan Hayes",0,7,5
start,bae-j001,"Ji Hwan Bae",0,8,4
start,delaj004,"Jason Delay",0,9,2
start,velav001,"Vince Velasquez",0,0,1
start,diazy001,"Yandy Diaz",1,1,3
start,franw002,"Wander Franco",1,2,6
start,arozr001,"Randy Arozarena",1,3,7
start,lowej002,"Josh Lowe",1,4,10
start,parei001,"Isaac Paredes",1,5,5
start,wallt003,"Taylor Walls",1,6,4
start,ralel001,"Luke Raley",1,7,9
start,bethc001,"Christian Bethancourt",1,8,2
start,margm001,"Manuel Margot",1,9,8
start,efliz001,"Zach Eflin",1,0,1
play,1,0,marct001,00,X,3/G3
play,1,0,reynb001,01,CX,7/F78S
play,1,0,mccua001,22,BCFBC,K
play,1,1,diazy001,12,SSBFFX,D8/L89D+
play,1,1,franw002,32,CB*BBF*B,W
play,1,1,arozr001,01,SX,64(1)3/GDP/G6.2-3
play,1,1,lowej002,32,FFFFBBBS,K
play,2,0,santc002,02,CSX,3/G3
play,2,0,suwij001,20,BBX,7/F8
play,2,0,joe-c001,22,CBCBC,K
play,2,1,parei001,22,FCB.FBFFFX,6/L6D
play,2,1,wallt003,22,BBSS.FX,HR/F9LD
