id,CHN202305250
version,2
info,visteam,NYN
info,hometeam,CHN
info,site,CHI11
info,date,2023/05/25
info,number,0
info,gametype,regular
info,starttime,6:40PM
info,daynight,night
info,innings,9
info,tiebreaker,2
info,usedh,true
info,umphome,ortir901
info,ump1b,whitc901
info,ump2b,drakr901
info,ump3b,millb901
info,umplf,(none)
info,umprf,(none)
info,inputtime,2023/07/15 09:03:00
info,howscored,unknown
info,pitches,pitches
info,oscorer,speaa701
info,temp,52
info,winddir,fromcf
info,windspeed,16
info,fieldcond,unknown
info,precip,none
info,sky,sunny
info,timeofgame,163
info,attendance,35446
info,wp,carrc003
info,lp,hendk001
info,save,
start,nimmb001,"Brandon Nimmo",0,1,8
start,lindf001,"Francisco Lindor",0,2,6
start,mcnej002,"Jeff McNeil",0,3,4
start,alonp001,"Pete Alonso",0,4,3
start,batyb001,"Brett Baty",0,5,5
start,marts002,"Starling Marte",0,6,9
start,voged001,"Daniel Vogelbach",0,7,10
start,canhm001,"Mark Canha",0,8,7
play,6,1,amaym001,32,B*BFFBB,W.1-2
play,6,1,madrn001,01,LX,14/SH/BG1S-.2-3;1-2
play,6,1,hoern001,00,,NP
sub,garrr001,"Reed Garrett",0,0,1
play,6,1,hoern001,00,.X,S9/G34.3-H;2-3
play,6,1,swand001,12,*BC1F>X,FC/G5S.3XH(52);1-2;B-1
play,6,1,morec001,02,CFX,D7/L7D+.2-H;1-H
play,6,1,suzus001,12,CBFX,S7/G6M.2-H
play,6,1,taucm001,21,BBFX,6/L6D
play,7,0,fraza001,00,.,NP
sub,happi001,"Ian Happ",1,7,7
play,7,0,fraza001,00,..,NP
sub,kay-a001,"Anthony Kay",1,0,1
play,7,0,fraza001,12,...CSFBFS,K
play,7,0,uriar001,32,FBFBBT,K
play,7,0,matej003,01,FX,7/L7D+
play,7,1,manct001,11,BSX,D7/L7LD
play,7,1,happi001,32,BSBFBF.B,W
play,7,1,amaym001,00,X,3/G3.2-3;1-2
play,7,1,madrn001,01,*SX,4/L4
play,7,1,hoern001,00,X,S4/G4-.3-H;2-3
