id,PHI202204120
version,2
info,visteam,NYN
info,hometeam,PHI
info,site,PHI13
info,date,2022/04/12
info,number,0
info,starttime,6:45PM
info,daynight,night
info,innings,9
info,tiebreaker,2
info,usedh,true
info,umphome,hudsm901
info,ump1b,johna901
info,ump2b,tumpj901
info,ump3b,blakr901
info,umplf,(none)
info,umprf,(none)
info,inputtime,2022/09/26 06:24:07
info,howscored,unknown
info,pitches,pitches
info,oscorer,golam701
info,temp,72
info,winddir,ltor
info,windspeed,4
info,fieldcond,unknown
info,precip,none
info,sky,cloudy
info,timeofgame,192
info,attendance,26045
info,wp,megit002
info,lp,wheez001
info,save,diaze006
start,nimmb001,"Brandon Nimmo",0,1,8
start,marts002,"Starling Marte",0,2,9
start,lindf001,"Francisco Lindor",0,3,6
start,alonp001,"Pete Alonso",0,4,3
start,escoe001,"Eduardo Escobar",0,5,5
start,canor001,"Robinson Cano",0,6,10
start,canhm001,"Mark Canha",0,7,7
start,mcnej002,"Jeff McNeil",0,8,4
play,6,0,semim001,01,FX,6/L6D.1-2(E6/TH)
play,6,0,seagc001,02,SFX,7/F78D
play,6,1,vierm001,31,BBBCB,W
play,6,1,bohma001,11,BCX,64(1)3/GDP/G6
play,6,1,castn001,00,X,D/F9D
com,"$Umpire reviewed (home run), call on the field was overturned."
play,6,1,harpb003,00,X,7/F1S
play,7,0,garca005,31,BBSBB,W
play,7,0,calhk001,12,111SB1FFS,K
play,7,0,garvm001,00,X,S6/F7S.1-3
play,7,0,reksz001,00,X,5/P5D/DP.3XH(52)
play,7,1,hoskr001,30,BBBB,W
play,7,1,realj001,00,X,7/L78D
play,7,1,schwk001,12,CFFBFX,8/F8XD+
play,7,1,seguj002,21,FBBX,S7/G56.1-2
play,7,1,gregd001,10,BX,8/F89XD+
play,8,0,millb002,21,BBSX,7/F7LD
play,8,0,ibana001,00,,NP
sub,heimj001,"Jonah Heim",0,9,11
play,8,0,heimj001,12,.BSFS,K
play,8,0,lowen001,00,,NP
sub,alvaj004,"Jose Alvarado",1,0,1
play,8,0,lowen001,00,.X,3/L3D+
play,8,1,vierm001,00,.,NP
sub,moorm003,"Matt Moore",0,0,1
play,8,1,vierm001,21,..BCBX,3/P3D
play,8,1,bohma001,22,BFBFFX,3/G3
play,8,1,castn001,00,X,S8/L8
play,8,1,harpb003,12,BFFX,6/L6+
play,9,0,semim001,00,,NP
sub,knebc001,"Corey Knebel",1,0,1
play,9,0,semim001,11,.CBH,HP
play,9,0,seagc001,12,1SSBX,4/L4+
play,9,0,garca005,22,1B1>FF1*BS,K
play,9,0,calhk001,00,>B,CS2(24)
play,9,1,hoskr001,12,FBFX,8/F8XD+
play,9,1,realj001,12,BCSX,4/L4D
play,9,1,schwk001,10,BX,S5/G56-
play,9,1,seguj002,00,,NP
sub,bushm001,"Matt Bush",0,0,1
play,9,1,seguj002,00,.,NP
sub,quinr003,"Roman Quinn",1,6,12
play,9,1,seguj002,00,..1>C,SB2
play,9,1,seguj002,22,..1>C.BCBX,1/L4MS
play,10,0,calhk001,00,,NP
sub,quinr003,"Roman Quinn",1,6,8
play,10,0,calhk001,00,.,NP
sub,vierm001,"Matt Vierling",1,9,7
play,10,0,calhk001,00,..,NP
sub,handb001,"Brad Hand",1,0,1
radj,garca005,2
com,"Adolis Garcia starts inning at 2nd base."
play,10,0,calhk001,02,....FSX,9/L9D+.2-3
play,10,0,garvm001,31,BBBCB,W
play,10,0,reksz001,00,,NP
sub,solan001,"Nick Solak",0,7,11
play,10,0,solan001,00,.,NP
sub,white006,"Eli White",0,6,12
play,10,0,solan001,02,..CCS,K
play,10,0,millb002,00,>B,SB2
play,10,0,millb002,10,>B.X,S9/F89.3-H(UR);2-H
play,10,0,heimj001,10,B>C,SB2
play,10,0,heimj001,32,B>C.FBBFB,W
play,10,0,lowen001,01,CX,6/L4M
play,10,1,gregd001,00,,NP
